playlist_id,playlist_name,total_tracks,avg_track_popularity
0dMexqq0XIWS3QJ74z3ZhD,Hip Hop 2000s Music - Best Hip Hop Hits of the 00s Playlist (Top Hip Hop Songs from 2000 to 2009),150,84.0
1Auw35jiiIb2CF06a7rXvg,THE BEST OF PUNK ROCK,124,84.0
1GXRoQWlxTNQiMNkOe7RqA,Hard Rock /Metal,285,84.0
1MpfaO3BUTsh2lu9oEJ9cW,2010s Emo/PunkRock/PopPunk,110,84.0
1jQx9cBFAsfnMV0tckNMQz,2000s Pop Punk Hits,145,84.0
2WxbQjSs5xcKRRcgIH5xQW,GUTS world tour official setlist,24,84.0
2XzxrxzOiESce0AFAqT9yL,"Golden Oldies: 50s, 60s & 70s",95,84.0
39sVxPTg7BKwrf2MfgrtcD,Punk Rock (90’s & 00’s),214,84.0
3ITYuY4bso8sVhPn8BGsfM,Punk,328,84.0
3Y7PnZDkdyNk1uZmlRYQUa,Punk,84,84.0
46U91gWTkZ5iCMfDlo0QgQ,Sound,2599,84.0
5A5eSBGX6wvw3KPOAnlEWB,punk only🙏,413,84.0
5sCvhbvnpBEFoaBpT5I6fl,Punks Not Dead,257,84.0
6BR89zcWs2ZuqcOB8NKuwx,This,65,84.0
76iQv4c5qSM4AgvXph4rJu,Early 2000s Punk Rock,121,84.0
7pbcEsNHfxpDXGwsGbbX7y,The BEST Punk,683,84.0
0CyQUjXRmDXjOgHw71xN41,Songs to listen to w/ Jazzzzzzy,330,83.8888888888889
4Ze6ci5FcJtmrNqlE7Wz4I,early 2000’s rom com,59,83.75
4iS7FhOe7z89QtxKi96D30,sound,634,83.5833333333333
2q5NaBXe6oBHMrXerHtn4S,sounds,241,83.5
5RkXZzyPCKrovrl1XF92vo,70's Rock Classics,493,83.5
695lyn7hI7UZ6jVB7RM2Jc,Punk,1246,83.5
0GsvYNj45QjR245EWqgfDs,OVO SOUND,106,83.3333333333333
4HJi4xyBETTGzmDNZt2sG0,The Best😎,754,83.3
6hXwzaSaiiWUazPjpQn0Yl,Happy Music from 1980-2025's 😃 Feel Good Songs 🌟,438,83.2857142857143
29vBHGS0VNLVhNG7BjJLfS,hot girl running era,130,83.1666666666667
4fBcYN8PgjH23N4QEe1tUx,Jazzzzzzzz,977,83.0952380952381
0O1bFEDkECrccHIkpTtffn,feeling jazzed,14,83.0
1UoRdESCTuRPEQE9wH8ypi,Linkin Park: Best of Playlist,65,83.0
